w,c,zh,en,us,core,ex,exz
screw,skruː,n. 螺旋，螺丝；螺旋浆；vt&vi. 钉住，拧,"n. a thin pointed piece of metal that you push and turn in order to fasten pieces of metal or wood together；vt&vi. to fasten or close something by turning it, or to be fastened in this way",skru,"【记忆】s + crew(一群人) → 一群工人在流水线上生产螺丝钉 → 螺丝(钉) | 【短语】twin screw (双螺旋桨；双推进器；双驱动桥), screw pump (螺旋泵，螺杆泵), screw thread (n. 螺纹)",Fix the frame in position and tighten the screws .,把框子固定在正确位置上，拧紧螺丝。
pore,pɔː,n. 毛孔；v. 钻研,"n. one of the small holes in your skin that liquid, especially  sweat  , can pass through, or a similar hole in the surface of a plant；v. If you pore over or through information, you look at it and study it very carefully",pɔr,"【短语】pore size (孔径；孔隙大小；气孔尺寸), pore water (孔隙水（等于interstitial water）), pore pressure (孔隙压力；中性压力)",The size of your pores is determined by the amount of oil they produce.,毛孔的大小取决于毛孔分泌油脂的多少。
slap,slæp,v. 拍 ，掌击,"v. to hit a surface with a lot of force, making a loud sharp sound",slæp,【短语】slap on (随便穿上；胡乱涂上；断然拒绝),Sarah slapped Aaron across the face.,萨拉在阿龙的脸上掴了一巴掌。
stick,stɪk,n. 枝条；木棍；v. 刺；粘；陷往,"n. a long thin piece of wood from a tree, which is no longer attached to the tree；v. to attach something to something else using a substance, or to become attached to a surface",stɪk,"【短语】stick with (坚持；继续做；保持联系), stick it out (坚持到底), stick in (在家)",They collected sticks to start the fire.,他们捡来树枝生火。
keen,kiːn,adj. 锋利的，尖锐的，强烈的；敏锐的；渴望的,adj. wanting to do something or wanting something to happen very much,kin,"【短语】keen on (喜爱；热衷于…), keen competition (剧烈竞争), keen interest (强烈的兴趣)",a keen photographer,一个摄影迷
status,'steɪtəs,n. 身份，地位,"n. the official legal position or condition of a person, group, country etc",ˈstætəs; ˈstetəs,"【记忆】stat(看作state， 声明) + us(我们) → 声明我们是谁 → 身份 | 【短语】status quo (n. 现状), current status (当前状态；目前状况), present status (现状)",These documents have no legal status in Britain.,这些文件在英国并无法律效力。
lubricate,'luːbrɪkeɪt,v. 使润滑，使顺利,v. to put a lubricant on something in order to make it move more smoothly,'lubrɪket,,Lubricate all moving parts with grease.,给所有活动部件加润滑油。
overwhelm,əʊvə'welm,v. 压倒，淹没,"v. if water overwhelms an area of land, it covers it completely and suddenly",",ovɚ'wɛlm",【记忆】over(在…之上) + whelm(淹没， 压倒) → 征服,But the various pros and cons should not blindly overwhelm one another.,但是，众多的利弊得失不应盲目的一个压倒另一个。
pains,peɪnz,n. 辛苦,n. Pain is the feeling of unhappiness that you have when something unpleasant or upsetting happens,penz,"【短语】growing pains ([医]发育期痛；青少年发育期的关节痛), at pains (尽力；用心), take pains (尽力，费苦心；耐心)",...grey eyes that seemed filled with pain.,…似乎充满了痛苦的灰色眼睛。
variable,'veərɪəb(ə)l,adj. 可变的，变化的；n. 可变物，变量,"adj. likely to change often；n. something that may be different in different situations, so that you cannot be sure what will happen",'vɛrɪəbl,"【短语】variable speed (变速，可变速率), random variable (随机变数，随机变量；无规变量), state variable ([控制系统]状态变量；[热力学]热力学态函数（等于thermodynamic function of state）)",Expect variable cloudiness and fog tomorrow.,预计明天多云有雾，天气多变。
handbook,'hæn(d)bʊk,n. 手册，便览,n. a short book that gives information or instructions about something,'hændbʊk,【短语】student handbook (学生手册),the Fiction Writer’s Handbook,《小说写作手册》
rigid,'rɪdʒɪd,adj. 僵硬的，不易弯的；严格的,"adj. rigid methods, systems etc are very strict and difficult to change",'rɪdʒɪd,"【短语】rigid body (刚体；刚性体), rigid frame (刚性构架), rigid frame bridge (刚构桥，刚架桥；刚架式桥梁)",rigid and authoritarian methods of education,死板、专断的教育方法
embrace,ɪm'breɪs; em-,v&n. 拥抱；利用；包含,v&n. to put your arms around someone and hold them in a friendly or loving way,ɪm'bres,【记忆】em(使…) + brac(胳膊) + e → 使在胳膊里 → 拥抱 | 【短语】warm embrace (温暖的拥抱),Jack warmly embraced his son.,杰克热情拥抱他的儿子。
ivory,'aɪv(ə)rɪ,n. 象牙；象牙制品；adj. 象牙色的,n. the hard smooth yellowish-white substance from the  tusks(= long teeth )  of an  elephant,'aɪvəri,"【短语】ivory coast (象牙海岸（非洲）), ivory tower (n. 象牙塔（指脱离现实生活的小天地）), tower of ivory (象牙塔（逃避现实之处）)",an ivory chess set,一副象牙国际象棋
radical,'rædɪk(ə)l,adj. 根本的，基本的，政治激进的,,'rædɪkl,"【短语】free radical ([化]自由基；游离基), radical polymerization (游离基聚合；游离基引发聚合反应), radical mastectomy (n. 根治性乳房切除术)",,
identity,aɪ'dentɪtɪ,n. 身份; 同一; 一致；特性,n. someone’s identity is their name or who they are,aɪ'dɛntəti,"【记忆】i + dent(牙齿) + ity(表性质) → 通过牙齿来确定身份 → 身份 | 【短语】identity card (身份证), cultural identity (文化身份；文化认同), national identity (国家认同；民族认同)",The identity of the killer is still unknown.,凶手的身份仍未查明。
prevail,prɪ'veɪl,v. 流行，盛行,"v. if a belief, custom, situation etc prevails, it exists among a group of people at a certain time",pri'vel,"【短语】prevail over (胜过；占优势), prevail on (说服，劝说), prevail upon (说服；诱使)",A similar situation prevails in Canada.,同样的情况在加拿大也普遍存在。
ferry,'ferɪ,n&v. 渡船；渡口，摆渡,n&v. a boat that carries people or goods across a river or a narrow area of water,'fɛri,"【记忆】fer(带来) + ry → 渡运 | 【短语】ferry terminal (渡轮码头；车船联运港；客轮码头), ferry service (轮渡服务)",They had recrossed the River Gambia by ferry.,他们乘船又一次渡过了冈比亚河。
pinpoint,'pɪnpɒɪnt,v. 精确发现目标,,'pɪnpɔɪnt,,"They have to be able to pinpoint people in order to work, but satellite positioning does not work indoors.",因为这样的技术必须精确人的位置才可以工作，而目前卫星的定位系统还不能运行到室内。
refreshment,rɪ'freʃm(ə)nt,n. 点心,"n. small amounts of food and drink that are provided at a meeting, sports event etc",ri'frɛʃmənt,【记忆】refresh(使精神振作) + ment → (精力的)恢复,Refreshments will be served after the meeting.,会后有茶点招待。
essence,'es(ə)ns,n. 本质，香精,n. the most basic and important quality of something,'ɛsns,"【记忆】ess(存在) + ence → 存在即是本质 → 本质 | 【短语】in essence (本质上；其实；大体上), of the essence (非常重要的), essence of beauty (美的本质)",In essence his message was very simple.,实质上他想表达的意思很简单。
hail,heɪl,n&v. (下)冰雹；(冰雹般)一阵，落下,n&v. frozen raindrops which fall as hard balls of ice,hel,"【短语】hail from (（车、船）来自；（人）出生于), hail storm (冰雹风暴)",heavy showers of rain and hail,夹着冰雹的阵阵大雨
litter,'lɪtə,"n. 杂乱物；一胎生下的小动物；v. 使杂乱,乱丢；n. ""","n. a group of baby animals that a mother gives birth to at the same time；v. if things litter an area, there are a lot of them in that place, scattered in an untidy way",'lɪtɚ,【记忆】把little的“l”乱丢， 错拿成“r” → 乱扔,People who drop litter can be fined in some cities.,在有些城市，乱扔垃圾的人会被罚款。
shiver,'ʃɪvə,v. 颤抖，哆嗦,v. to shake slightly because you are cold or frightened,'ʃɪvɚ,,Jake stood shivering in the cold air.,大冷天里，杰克站着冻得瑟瑟发抖。
portion,'pɔːʃ(ə)n,n. 一部分，一份，一客,"n. a part of something larger, especially a part that is different from the other parts",'pɔrʃən,"【记忆】port(看作part， 部分) + ion → 部分 | 【短语】central portion (中心部位), main portion (主要部分), portion something out (把(食品、土地、财产等)分成几份；把某物分成若干份；按比例分配)",Do you have any children’s portions?,你们有儿童餐吗？
courtesy,'kɜːtɪsɪ,n. 礼貌，谦恭,n. polite behaviour and respect for other people,'kɝtəsi,"【短语】courtesy of (经由…提供；蒙…好意), by courtesy (礼貌起见), by courtesy of (蒙…的好意；由于…的作用)",It’s a matter of common courtesy to acknowledge letters.,确认收到来信是起码的礼貌。
feast,fiːst,n&v. 筵席，宴请，使享受,n&v. A feast is a large and special meal,fist,"【短语】feast on (尽情欣赏；尽情享受；大吃大喝), feast day (n. 节日；斋日；宗教节日), wedding feast (n. 喜筵)","Lunch was a feast of meat and vegetables, cheese, yoghurt and fruit, with unlimited wine.",午餐是一场盛宴，有肉、蔬菜、奶酪、酸奶和水果，以及不限量的葡萄酒。
propriety,prə'praɪətɪ,n. 正当行为；正当；适当,,prə'praɪəti,【短语】with propriety (按照礼节；正当，适当),,
surplus,'sɜːpləs,n. 余款，盈余；过剩，剩余),n. an amount of something that is more than what is needed or used,'sɝpləs,"【短语】trade surplus (贸易顺差；贸易盈余), surplus value (剩余价值), surplus heat (余热；剩余热量)",Any surplus can be trimmed away.,多出来的部分可以修剪掉。
odyssey,'ɔdisi,n. 长途冒险旅行；一连串的冒险,n. a long journey with a lot of adventures or difficulties,'ɑdəsi,,a spiritual odyssey,一次精神上的艰难历程
portfolio,pɔːt'fəʊlɪəʊ,n. 公事包；文件夹；大臣及部长职位,"n. a large flat case used especially for carrying pictures, documents etc",pɔrt'folɪo,"【短语】investment portfolio (投资证券组合), portfolio investment (笼统有价证券投资；间接投资), product portfolio (产品组合；产品系列)",the foreign affairs portfolio,外交部长职责
superficial,",suːpə'fɪʃ(ə)l; ,sjuː-",adj. 表面的；表皮的；肤浅的，一知半解的,adj. not studying or looking at something carefully and only seeing the most noticeable things,",supɚ'fɪʃl","【记忆】super(在…上面) + fic(做) ＋ ial → 做表面文章 → 表面的 | 【短语】superficial velocity (空塔速度；表面速度), superficial layer (浅层；表面层), superficial area (表面积)",They only have the most superficial understanding of prison life.,他们对监狱生活只有最粗浅的了解。
session,'seʃ(ə)n,n. 开庭，开庭期；集会；学期,"n. a formal meeting or group of meetings, especially of a law court or parliament",'sɛʃən,"【记忆】ses(看作see， 看见) + sion → 看见彼此 → 会面 → 会议 | 【短语】plenary session (全体大会), training session (练习课；培训课程；训练项目), in session (在开庭；在开会；在上课)",Board members met in closed session (= with nobody else present ) .,委员会成员举行了闭门会议。
